,user_id,test_group,total_spend,total_wins_spend
4289,250003234,C,11.599971359974951,11.599971359974951
4300,250343042,C,41.949999999999996,41.949999999999996
4344,248995844,C,19.96,19.96
4365,247748264,C,2.99,2.99
4368,245800762,P,1.0571477019808393,1.0571477019808393
4373,248271602,C,88.39469026264163,88.39469026264163
4385,243380923,C,11.12310484474197,11.12310484474197
4395,287684670,P,1.99,1.99
4400,242132614,C,2.98,2.98
4416,245587993,C,14.920000000000002,14.920000000000002
4430,249469692,P,126.56,126.56
4448,290374981,C,7.179520697037306,7.179520697037306
4457,251098303,C,20.92,20.92
4490,248996873,C,0.874477695773694,0.874477695773694
4521,245794264,P,1.98,1.98
4530,288162300,C,1.0083776832777367,1.0083776832777367
4532,242836483,C,42.97,42.97
4535,299063411,C,9.99,9.99
4541,243379254,C,141.93111909699212,141.93111909699212
4543,299736820,P,0.99,0.99
4563,293439741,C,1.113341198220697,1.113341198220697
4566,290491691,C,17.94,17.94
4586,245932663,C,1.99,1.99
4616,294506960,C,7.1409229292249226,7.1409229292249226
4621,290372931,C,12.17600304487249,12.17600304487249
4623,295841290,C,4.99,4.99
4634,290879340,C,77.75999999999999,77.75999999999999
4641,287988961,C,1.99,1.99
4645,291153611,P,3.5716661464383126,3.5716661464383126
4646,241625372,P,0.8790711418750948,0.8790711418750948
4650,240976802,P,23.880000000000003,23.880000000000003
4660,245542553,C,12.081997944004353,12.081997944004353
4661,240576593,P,299.47000000000014,299.47000000000014
4670,243897564,C,6.706895398808332,6.706895398808332
4671,291957941,C,2.290437122047578,2.290437122047578
4695,240620742,C,17.89,17.89
4697,244495654,C,2.99,2.99
4699,291121151,C,19.399420205298373,19.399420205298373
4711,289488820,C,237.27999999999997,237.27999999999997
4714,240185192,P,2.2598734949122954,2.2598734949122954
4728,292683630,C,431.43870370363555,431.43870370363555
4735,242419243,C,28.384574625460925,28.384574625460925
4739,247859134,C,4.138071865209824,4.138071865209824
4742,245593512,C,6.96,6.96
4757,291734231,C,21.475098154151382,21.475098154151382
4759,293837980,P,2.1999773068243424,2.1999773068243424
4777,298393420,C,9.42690332333973,9.42690332333973
4788,246374213,P,14.718279677198698,14.718279677198698
4796,251106363,P,11.171842054675851,11.171842054675851
4803,245029753,C,0.99,0.99
4808,243674913,C,21.55989567208922,21.55989567208922
4816,239630302,C,31.99182491928552,31.99182491928552
4818,245891412,C,20.929999999999996,20.929999999999996
4822,250573603,C,3.96,3.96
4835,247806382,C,3.9699999999999998,3.9699999999999998
4839,247693844,C,7.380411190787659,7.380411190787659
4842,294019820,C,7.970000000000001,7.970000000000001
4843,244321483,C,17.17232339922177,17.17232339922177
4844,247281612,C,14.920000000000002,14.920000000000002
4853,246956442,C,1.0081979129887817,1.0081979129887817
4856,249476242,C,0.99,0.99
4861,287976720,C,0.99,0.99
4868,243639432,C,183.84100859615768,183.84100859615768
4870,288625421,P,1288.4179900762042,1148.855616042654
4874,242384572,C,449.51,332.04391840859535
4895,299443441,C,117.91000000000001,117.91000000000001
4907,290971350,P,2.3526388958561784,2.3526388958561784
4920,293888251,C,0.99,0.99
4924,242693814,C,0.99,0.99
4936,241895423,C,5.700596479365362,5.700596479365362
4937,241349874,C,1.99,1.99
4962,242699234,P,2.9699999999999998,2.9699999999999998
4964,247571873,C,25.9,25.9
4965,245294563,C,5.645306727452711,5.645306727452711
4990,246804103,C,4.99,4.99
5001,294012720,C,844.4798343751117,717.6360326819513
5006,240949943,P,98.71000000000001,98.71000000000001
5008,246036084,C,36.89,36.89
5015,240693963,C,43.8,43.8
5023,241156182,P,2.99,2.99
5031,300100080,C,4.99,4.99
5038,249369924,C,16.32976984346477,16.32976984346477
5045,245941103,C,0.8912649486958792,0.8912649486958792
5050,251936363,C,66.20025014060329,66.20025014060329
5065,241546393,C,16.91,16.91
5073,292647661,C,5.98,5.98
5080,246147163,C,17.957698671013485,17.957698671013485
5086,248679063,P,36.92,36.92
5087,249737264,C,4.99,4.99
5106,241953853,C,30.73996176288157,30.73996176288157
5114,293221780,C,2.3892710922210614,2.3892710922210614
5117,252696543,C,32.04395984989667,32.04395984989667
5120,252058094,P,2.99,2.99
5139,288566471,P,34.910000000000004,34.910000000000004
5147,249692432,C,1.99,1.99
5149,244879102,C,40.85,40.85
5150,293280131,C,73.84,73.84
5154,288764950,C,9.99,9.99
5164,296475190,C,10.92,10.92
5165,241987322,P,14.940000000000001,14.940000000000001
5173,290957280,C,2.98,2.98
5202,289054091,C,1.99,1.99
5224,291864091,C,4.99,4.99
5228,297613471,C,2.9920841812947097,2.9920841812947097
5241,242550713,P,1.98,1.98
5262,289648941,C,31.929201573978172,31.929201573978172
5309,244220352,C,55.664783472535284,55.664783472535284
5326,241490822,C,107.74999999999999,107.74999999999999
5328,294663140,C,2.9699999999999998,2.9699999999999998
5351,248011013,P,124.51426772398365,124.51426772398365
5372,290929120,P,10.626267919896815,10.626267919896815
5375,241108233,C,2.0721465134420995,2.0721465134420995
5385,240303492,C,1.99,1.99
5402,246145512,C,3.96,3.96
5410,297403440,P,7.960000000000001,7.960000000000001
5437,296975490,C,100.90999999999998,100.90999999999998
5449,249719253,P,57.86000000000001,57.86000000000001
5461,296577170,P,0.99,0.99
5467,295463871,C,104.82892332407904,104.82892332407904
5472,298392081,C,71.79999999999998,71.79999999999998
5478,289812301,C,3.1078836313707434,3.1078836313707434
5496,244885582,P,7.960000000000001,7.960000000000001
5502,294800400,C,14.794758486806817,14.794758486806817
5508,248130903,C,14.98,14.98
5520,241814672,C,4.396476650299004,4.396476650299004
5522,248256534,P,6.98,6.98
5564,292190150,P,20.170443141987494,20.170443141987494
5568,242123344,C,9.950000000000001,9.950000000000001
5569,244942223,P,4.99,4.99
5577,297385030,C,6.970000000000001,6.970000000000001
5582,289905191,C,4.99,4.99
5588,292362401,C,30.559651909614175,30.559651909614175
5606,241400332,C,6.9597347510867085,6.9597347510867085
5607,249409002,C,2.99,2.99
5643,297229140,P,2.98,2.98
5659,246351924,C,157.83,157.83
5671,287716861,P,23.53825758042377,23.53825758042377
5672,246505272,C,44.89,44.89
5704,298848840,C,5.899452804377565,5.899452804377565
5705,240969534,C,3.0166826183351305,3.0166826183351305
5712,242518393,C,21.377466581795034,21.377466581795034
5727,244460102,P,28.01351840665661,28.01351840665661
5739,250191594,C,3.570149864457061,3.570149864457061
5773,248314863,C,271.57742945258633,271.57742945258633
5775,294348841,C,2.2857833948116344,2.2857833948116344
5781,250147364,C,1.0112824389272235,1.0112824389272235
5787,246351704,C,38.81,38.81
5789,249558873,P,36.3775037864617,36.3775037864617
5794,292968090,C,18.9,18.9
5795,294649910,C,21.89,21.89
5804,290560091,C,26.849999999999998,26.849999999999998
5823,296643590,C,0.99,0.99
5828,241268842,C,1.0567686626533206,1.0567686626533206
5841,248990953,C,2.0423767517999085,2.0423767517999085
5854,288865490,C,2.99,2.99
5873,247897933,C,1.99,1.99
5883,242021813,C,9.98,9.98
5887,245789922,C,27.940000000000005,27.940000000000005
5901,293354871,C,0.99,0.99
5911,296611681,P,10.635331578988444,10.635331578988444
5914,294934650,P,0.99,0.99
5915,292630430,C,5.4760632247810115,5.4760632247810115
5927,244846493,C,4.98,4.98
5929,289511111,C,2.936761895066567,2.936761895066567
5937,243199632,C,102.71999999999998,102.71999999999998
5939,248935622,C,12.97,12.97
5941,241971583,C,26.97,26.97
5946,248078972,P,63.357933449209625,63.357933449209625
5949,241571512,C,53.95,53.95
5951,245705894,C,6.95,6.95
5955,295761200,C,15.97,15.97
5957,244166012,C,117.11018993289866,117.11018993289866
5959,250208204,P,5.0799403437867445,5.0799403437867445
5960,247871604,P,0.8793174644525596,0.8793174644525596
6028,248284533,P,26.609182953189553,26.609182953189553
6040,247219192,C,7.960000000000001,7.960000000000001
6047,291430280,P,1.0662902687588456,1.0662902687588456
6050,247944214,C,180.81999999999996,180.81999999999996
6078,247768714,C,1.99,1.99
6090,247849753,C,23.85,23.85
6107,250444914,C,8.479459058981982,8.479459058981982
6125,248788122,P,67.89000000000001,67.89000000000001
6132,247088422,C,2.98,2.98
6135,294800710,C,9.026640019334767,9.026640019334767
6159,246360564,C,2.99,2.99
6168,244722712,C,127.85999999999999,127.85999999999999
6172,241519092,C,4.99,4.99
